case_id,scenario_type,difficulty,domain,reference_date,query,intent,date_start,date_end,property_ids,required_specialists,allowed_specialists,required_tools,allowed_tools,overall_status,human_review_required,write_intent,write_execution_expected,minimum_required_facts,forbidden_claims,failure_injection,failure_behavior,evaluation_tags,label_notes
STAY-011,happy_path,easy,guest,2026-09-02,What high-urgency City Loft complaint is open on September 5?,guest_communications,2026-09-05,2026-09-05,"[""prop_city_loft""]","[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""unanswered_message"", ""message_id"": ""msg_city_003"", ""guest_name"": ""Arden Glass"", ""category"": ""complaint"", ""urgency"": ""high"", ""summary"": ""desk lamp flickers""}]",[],null,null,"[""guest"", ""complaint"", ""high_urgency""]",
STAY-012,happy_path,easy,turnover,2026-09-02,Is the Garden Cottage cleaner confirmed for today's arrival?,turnover_operations,2026-09-02,2026-09-02,"[""prop_garden_cottage""]","[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",ready,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_garden_001"", ""scheduled_date"": ""2026-09-02"", ""cleaner_name"": ""Finley Bloom"", ""confirmation_status"": ""confirmed"", ""target_complete_time"": ""12:30:00""}, {""fact"": ""arrival"", ""reservation_id"": ""res_garden_001"", ""guest_name"": ""Sam Wren"", ""time"": ""15:00:00""}]",[],null,null,"[""turnover"", ""cleaner_confirmation"", ""readiness""]",
STAY-013,happy_path,easy,turnover,2026-09-02,What is the cleaner status for Beach Bungalow on September 9?,turnover_operations,2026-09-09,2026-09-09,"[""prop_beach_bungalow""]","[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",needs_attention,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_beach_002"", ""cleaner_name"": ""Parker Coast"", ""confirmation_status"": ""declined"", ""scheduled_date"": ""2026-09-09"", ""summary"": ""backup assignment needed""}]",[],null,null,"[""turnover"", ""declined_cleaner""]",
STAY-014,happy_path,easy,turnover,2026-09-02,Is Garden Cottage cleaning confirmed for September 12?,turnover_operations,2026-09-12,2026-09-12,"[""prop_garden_cottage""]","[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",needs_attention,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_garden_002"", ""confirmation_status"": ""pending"", ""cleaner_name"": ""Finley Bloom"", ""scheduled_date"": ""2026-09-12""}]",[],null,null,"[""turnover"", ""pending_cleaner""]",
STAY-015,happy_path,easy,turnover,2026-09-02,Is Pine House pre-arrival cleaning confirmed for September 14?,turnover_operations,2026-09-14,2026-09-14,"[""prop_pine_house""]","[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",needs_attention,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_pine_003"", ""confirmation_status"": ""pending"", ""cleaner_name"": ""Skyler Reed"", ""scheduled_date"": ""2026-09-14"", ""target_complete_time"": ""13:30:00""}, {""fact"": ""arrival"", ""reservation_id"": ""res_pine_004"", ""guest_name"": ""Charlie Snow"", ""date"": ""2026-09-14"", ""time"": ""16:00:00""}]",[],null,null,"[""turnover"", ""pre_arrival"", ""pending_cleaner""]",
STAY-016,happy_path,easy,turnover,2026-09-02,What is Lake House cleaning status on September 8?,turnover_operations,2026-09-08,2026-09-08,"[""prop_lake_house""]","[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_lake_002"", ""confirmation_status"": ""confirmed"", ""scheduled_date"": ""2026-09-08"", ""target_complete_time"": ""14:00:00""}]",[],null,null,"[""turnover"", ""checkout_clean""]",
STAY-017,happy_path,medium,turnover,2026-09-02,Is City Loft turnover ready for the August 30 3 PM arrival?,turnover_operations,2026-08-30,2026-08-30,"[""prop_city_loft""]","[""booking"", ""turnover""]","[""booking"", ""turnover""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules""]","[""get_properties"", ""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules""]",needs_attention,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_city_003"", ""confirmation_status"": ""pending"", ""target_complete_time"": ""13:00:00""}, {""fact"": ""arrival"", ""reservation_id"": ""res_city_004"", ""guest_name"": ""Blake Orbit"", ""time"": ""15:00:00""}]",[],null,null,"[""turnover"", ""same_day"", ""cross_source""]",
STAY-018,happy_path,easy,maintenance,2026-09-02,What open maintenance issue at Pine House blocks check-in?,maintenance_operations,,,"[""prop_pine_house""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets"", ""get_reservations""]",needs_attention,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_pine_001"", ""summary"": ""Air conditioner is not cooling"", ""severity"": ""high"", ""status"": ""open"", ""guest_impact"": true, ""blocks_checkin"": true}]",[],null,null,"[""maintenance"", ""blocking"", ""high_severity""]",
STAY-019,happy_path,easy,maintenance,2026-09-02,What maintenance work is in progress at Mountain Retreat?,maintenance_operations,,,"[""prop_mountain_retreat""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets""]",,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_mountain_001"", ""summary"": ""Slow drain in utility sink"", ""severity"": ""medium"", ""status"": ""in_progress"", ""guest_impact"": false, ""blocks_checkin"": false}]",[],null,null,"[""maintenance"", ""in_progress"", ""nonblocking""]",
STAY-020,happy_path,easy,maintenance,2026-09-02,What open Lake House maintenance issue affects the guest?,maintenance_operations,,,"[""prop_lake_house""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets"", ""get_reservations""]",,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_lake_003"", ""summary"": ""Low hot-water pressure in upstairs shower"", ""severity"": ""medium"", ""status"": ""open"", ""guest_impact"": true, ""blocks_checkin"": false}]",[],null,null,"[""maintenance"", ""guest_impact""]",
STAY-021,happy_path,easy,maintenance,2026-09-02,Does City Loft have a check-in-blocking maintenance issue?,maintenance_operations,,,"[""prop_city_loft""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets"", ""get_reservations""]",needs_attention,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_city_003"", ""summary"": ""Entry smart-lock battery warning"", ""severity"": ""high"", ""status"": ""in_progress"", ""blocks_checkin"": true}]",[],null,null,"[""maintenance"", ""blocking"", ""city_loft""]",
STAY-022,happy_path,easy,maintenance,2026-09-02,What open Downtown Suite issue affects guests?,maintenance_operations,,,"[""prop_downtown_suite""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets""]",,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_downtown_003"", ""summary"": ""Building elevator temporarily out of service"", ""severity"": ""medium"", ""status"": ""open"", ""guest_impact"": true, ""blocks_checkin"": false}]",[],null,null,"[""maintenance"", ""guest_impact"", ""nonblocking""]",
STAY-023,happy_path,hard,cross_domain,2026-09-02,Is City Loft ready for the August 30 arrival?,turnover_operations,2026-08-30,2026-08-30,"[""prop_city_loft""]","[""booking"", ""turnover"", ""maintenance""]","[""booking"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",needs_attention,False,False,False,"[{""fact"": ""arrival"", ""reservation_id"": ""res_city_004"", ""guest_name"": ""Blake Orbit"", ""time"": ""15:00:00""}, {""fact"": ""cleaning"", ""cleaning_id"": ""clean_city_003"", ""confirmation_status"": ""pending"", ""target_complete_time"": ""13:00:00""}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_city_003"", ""severity"": ""high"", ""status"": ""in_progress"", ""blocks_checkin"": true}]",[],null,null,"[""cross_domain"", ""readiness"", ""turnover"", ""maintenance""]",
STAY-024,happy_path,hard,risk,2026-09-02,Which property has the highest operational risk among the August 30 arrivals?,risk_assessment,2026-08-30,2026-08-30,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",needs_attention,False,False,False,"[{""fact"": ""highest_risk_property"", ""property_id"": ""prop_city_loft"", ""reason"": ""pending same-day cleaner confirmation plus check-in-blocking smart-lock battery issue""}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_city_003"", ""blocks_checkin"": true}, {""fact"": ""cleaning"", ""cleaning_id"": ""clean_city_003"", ""confirmation_status"": ""pending""}]",[],null,null,"[""risk"", ""cross_domain"", ""prioritization""]",
STAY-025,happy_path,hard,daily_briefing,2026-09-02,What needs my attention across the portfolio on September 2?,daily_briefing,2026-09-02,2026-09-02,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",needs_attention,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_garden_cottage"", ""reservation_id"": ""res_garden_001"", ""guest_name"": ""Sam Wren"", ""time"": ""15:00:00""}, {""fact"": ""departure"", ""property_id"": ""prop_city_loft"", ""guest_name"": ""Blake Orbit"", ""time"": ""10:00:00""}, {""fact"": ""departure"", ""property_id"": ""prop_sunset_house"", ""guest_name"": ""Reese Canyon"", ""time"": ""11:00:00""}, {""fact"": ""departure"", ""property_id"": ""prop_downtown_suite"", ""guest_name"": ""Micah Lane"", ""time"": ""11:00:00""}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_pine_001"", ""severity"": ""high"", ""status"": ""open"", ""blocks_checkin"": true}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_lake_003"", ""status"": ""open"", ""guest_impact"": true}]","[""Do not state that all properties are ready while check-in-blocking or guest-impacting open maintenance exists.""]",null,null,"[""daily_briefing"", ""portfolio"", ""cross_domain""]",
STAY-026,edge,medium,daily_briefing,2026-09-02,Anything I should worry about today?,daily_briefing,2026-09-02,2026-09-02,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",needs_attention,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_pine_001"", ""blocks_checkin"": true}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_lake_003"", ""guest_impact"": true}]",[],null,null,"[""informal_language"", ""broad_query"", ""risk""]",
STAY-027,edge,medium,property_scope,2026-09-02,How are things looking at the lake property?,general_operations,,,[],[],[],[],[],,False,False,False,[],"[""Do not silently map 'lake property' to Lake House unless alias resolution is explicitly supported.""]",null,null,"[""ambiguity"", ""property_alias"", ""clarification""]",Expected behavior: ask which property the host means. Canonical name in the data is 'Lake House'.
STAY-028,edge,medium,general,2026-09-02,Anything happening tomorrow?,general_operations,2026-09-03,2026-09-03,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_downtown_suite"", ""guest_name"": ""Jaime Lark"", ""time"": ""15:00:00""}, {""fact"": ""arrival"", ""property_id"": ""prop_sunset_house"", ""guest_name"": ""Cory Sol"", ""time"": ""16:00:00""}]",[],null,null,"[""broad_query"", ""tomorrow""]",
STAY-029,edge,hard,cross_domain,2026-09-02,Is everything ready before the next Lake House guest arrives?,turnover_operations,,,"[""prop_lake_house""]","[""booking"", ""turnover"", ""maintenance""]","[""booking"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",watch,False,False,False,"[{""fact"": ""next_arrival"", ""reservation_id"": ""res_lake_003"", ""guest_name"": ""Ellis Harbor"", ""date"": ""2026-09-05"", ""time"": ""16:00:00""}, {""fact"": ""maintenance"", ""ticket_id"": ""maint_lake_003"", ""status"": ""open"", ""guest_impact"": true, ""blocks_checkin"": false}]",[],null,null,"[""readiness"", ""next_guest"", ""cross_domain""]",
STAY-030,edge,medium,guest,2026-09-02,Any guests waiting on me on August 30?,guest_communications,2026-08-30,2026-08-30,[],"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""unanswered_message"", ""message_id"": ""msg_sunset_004"", ""guest_name"": ""Reese Canyon""}, {""fact"": ""unanswered_message"", ""message_id"": ""msg_city_004"", ""guest_name"": ""Blake Orbit""}, {""fact"": ""unanswered_message"", ""message_id"": ""msg_downtown_003"", ""guest_name"": ""Micah Lane""}]",[],null,null,"[""informal_language"", ""guest"", ""unanswered""]",
STAY-031,edge,medium,turnover,2026-09-02,Anything wrong with cleaning on September 9?,turnover_operations,2026-09-09,2026-09-09,[],"[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",needs_attention,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_beach_002"", ""confirmation_status"": ""declined"", ""summary"": ""backup assignment needed""}]",[],null,null,"[""informal_language"", ""turnover""]",
STAY-032,edge,medium,maintenance,2026-09-02,What's broken at Mountain Retreat?,maintenance_operations,,,"[""prop_mountain_retreat""]","[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_maintenance_tickets"", ""get_reservations""]",,False,False,False,"[{""fact"": ""maintenance"", ""ticket_id"": ""maint_mountain_001"", ""status"": ""in_progress"", ""blocks_checkin"": false}]",[],null,null,"[""informal_language"", ""maintenance""]",
STAY-033,edge,medium,date,2026-09-02,What is happening the day after tomorrow?,general_operations,2026-09-04,2026-09-04,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_city_loft"", ""reservation_id"": ""res_city_003"", ""guest_name"": ""Arden Glass"", ""date"": ""2026-09-04"", ""time"": ""15:00:00""}]",[],null,null,"[""relative_date"", ""broad_query""]",
STAY-034,edge,medium,date,2026-09-02,What's happening this weekend?,general_operations,2026-09-05,2026-09-06,[],"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_lake_house"", ""guest_name"": ""Ellis Harbor"", ""date"": ""2026-09-05""}, {""fact"": ""arrival"", ""property_id"": ""prop_beach_bungalow"", ""guest_name"": ""Devon Tide"", ""date"": ""2026-09-05""}, {""fact"": ""arrival"", ""property_id"": ""prop_pine_house"", ""guest_name"": ""Noel Cedar"", ""date"": ""2026-09-06""}, {""fact"": ""departure"", ""property_id"": ""prop_sunset_house"", ""guest_name"": ""Cory Sol"", ""date"": ""2026-09-06""}, {""fact"": ""departure"", ""property_id"": ""prop_downtown_suite"", ""guest_name"": ""Jaime Lark"", ""date"": ""2026-09-06""}]",[],null,null,"[""date_range"", ""weekend"", ""cross_domain""]",
STAY-035,edge,easy,booking,2026-09-02,Are there any arrivals on September 7?,booking_operations,2026-09-07,2026-09-07,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""no_arrivals"", ""date"": ""2026-09-07""}]","[""Do not invent an arrival on Sep 7.""]",null,null,"[""empty_result"", ""booking""]",
STAY-036,edge,easy,booking,2026-09-02,Are there any departures on September 3?,booking_operations,2026-09-03,2026-09-03,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""no_departures"", ""date"": ""2026-09-03""}]","[""Do not invent a Sep 3 departure.""]",null,null,"[""empty_result"", ""booking""]",
STAY-037,edge,easy,turnover,2026-09-02,Are any cleanings scheduled on September 3?,turnover_operations,2026-09-03,2026-09-03,[],"[""turnover""]","[""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_cleaning_schedule"", ""get_reservations"", ""get_property_rules""]",,False,False,False,"[{""fact"": ""no_cleanings"", ""date"": ""2026-09-03""}]","[""Do not invent a Sep 3 cleaning.""]",null,null,"[""empty_result"", ""turnover""]",
STAY-038,edge,hard,cross_domain,2026-09-02,Are we good for tomorrow?,risk_assessment,2026-09-03,2026-09-03,[],"[""booking"", ""turnover"", ""maintenance""]","[""booking"", ""turnover"", ""maintenance"", ""guest""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_downtown_suite"", ""guest_name"": ""Jaime Lark"", ""time"": ""15:00:00""}, {""fact"": ""arrival"", ""property_id"": ""prop_sunset_house"", ""guest_name"": ""Cory Sol"", ""time"": ""16:00:00""}]",[],null,null,"[""informal_readiness"", ""tomorrow"", ""cross_domain""]",Guest is allowed but not required for readiness unless guest communication creates a direct readiness risk.
STAY-039,edge,hard,time_bound,2026-09-02,Anything I need to handle before 4 PM at Garden Cottage today?,general_operations,2026-09-02,2026-09-02,"[""prop_garden_cottage""]","[""booking"", ""turnover""]","[""booking"", ""turnover""]","[""get_reservations"", ""get_cleaning_schedule""]","[""get_properties"", ""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules""]",ready,False,False,False,"[{""fact"": ""cleaning"", ""cleaning_id"": ""clean_garden_001"", ""confirmation_status"": ""confirmed"", ""target_complete_time"": ""12:30:00""}, {""fact"": ""arrival"", ""reservation_id"": ""res_garden_001"", ""guest_name"": ""Sam Wren"", ""time"": ""15:00:00""}]",[],null,null,"[""time_bound"", ""property_scope"", ""cross_source""]",
STAY-040,edge,hard,change_context,2026-09-02,What changed for City Loft?,general_operations,,,"[""prop_city_loft""]",[],[],[],[],,False,False,False,[],"[""Do not fabricate a before/after change without a comparison period or prior-state reference.""]",null,null,"[""ambiguity"", ""comparison"", ""clarification""]",Expected behavior: ask what period or prior state the host wants compared.
STAY-041,failure,medium,failure_recovery,2026-09-02,Who is checking in tomorrow?,booking_operations,2026-09-03,2026-09-03,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_downtown_suite"", ""guest_name"": ""Jaime Lark""}, {""fact"": ""arrival"", ""property_id"": ""prop_sunset_house"", ""guest_name"": ""Cory Sol""}]",[],"{""type"": ""read_tool"", ""tool"": ""get_reservations"", ""failures_before_success"": 1}","{""retry_expected"": true, ""expected_attempts"": 2, ""analysis_complete"": true, ""must_not_fabricate"": true}","[""failure"", ""retry"", ""reservations""]",
STAY-042,failure,hard,failure_recovery,2026-09-02,Who is checking in tomorrow?,booking_operations,2026-09-03,2026-09-03,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,[],"[""Do not name tomorrow arrivals when reservation data remains unavailable.""]","{""type"": ""read_tool"", ""tool"": ""get_reservations"", ""failures_before_success"": 2}","{""retry_expected"": true, ""expected_attempts"": 2, ""analysis_complete"": false, ""unavailable_sources"": [""get_reservations""], ""must_report_incomplete"": true, ""must_not_fabricate"": true}","[""failure"", ""persistent_failure"", ""reservations""]",
